value,name
0,00年
22,20世纪20年代
25,20世纪50年代
26,20世纪60年代
26,20世纪60年代中期
27,20世纪70年代
28,20世纪80年代
29,20世纪九十年代
29,20世纪90年代
3,30年代
5,五十年代
5,50年代
6,60年代
6,六十年代
7,70年代
7,七十年代
8,八十年代初
8,８０年代
8,80年代末
8,80年代初
8,八十年代
8,80年代中期
8,80年代
8,80年代初期
9,九十年代
9,90年代中期
9,90年代
9,90年代末
9,90年代初
1,01年
2,02年
3,03年
4,04年
5,05年年底
5,05年
6,06年
7,07年
8,08年
08-FA,08年秋天
9,09年年底
9,上世纪
9,09年
9月1日,2009年1月
2009/8/28,2009年8月28日
9月12日,2009年12月
10,10年
2010/9/20,2010年9月20日
1000,1000年
1000-3-7,100037
1000-5-4,100054
1000-SU,夏
1001-2-5,100125
1008,1008年
102,20世纪初
1021,1021年
1021-09,9月
1021-3-8,102138
1024-7-04,1024704
1034,1034年
1047,1047年
105,50年代
1050,1050年
1054,1054年
1055,1055年
1057,1057年
1061,1061年
1079,1079年
108,80年代
1084,1084年
1084-SP,春
1086,1086年
1090-5-11,1090511
11,11年
2011/1/28,一一年一月二十八日
2011/2/14,一一年二月十四日
2011/3/11,一一年三月十一日
2011/3/15,一一年三月十五日
2011/7/4,一一年七月四日
1100,1100年
1119-02-8,1119028
1119-6-10,1119610
1121,1121年
1126,1126年
1126-WI,冬天
1127,1127年
1137-04,4月
1137-05,5月
1137-06,6月
1137-07,7
1137-08,8月
1137-09,9月
1137-1-5,113715
1137-H1,上半年
1143-3-3,114333
1162,1162年
1162-07-20,1162年七月二十日
1186-07,7月份
1186-09,9月
1186-09,本月
1186-9-1,118691
1188,去年
1188-09,9月
1188-7-7,118877
1189-1-9,118919
1194-03,3月份
1194-09,9月
1194-6-1,119461
12,12年
12,一二年
2012/1/30,一二年一月三十日
12月7日,2012年7月
2012/12/29,2012年12月29日
1200,1200年
1220,去年年底
1220-09,9月
1221-1-4,122114
1279,1279年
13,13年
1300,1300年
1370,1370年
1370-11-03,11月3日
1370-12,下个月
1377-09,9月
1377-4-9,137749
1386,1386年
1390,1390年
14,14年底
14,１４年
14,14年
9月14日,2014年9月
14-WI,14年冬
1400,1400年
1404,去年
1405,１４０５年
1405-06,明年６月
1405-H2,下半年
142,20世纪
1424,1424年
1427,1427年
1445-09,9月
1445-8-4,144584
1449,1449年
1450,1450年
1457,1457年
1460,1460年
1464,1464年
1477,１４７７年
1477-07-22,7月22日
1484,1484年
1494,1494年
15,一个世纪前
15,15年
15-WI,15年冬季
1500,1500年
1500-10-22,10月22日
1500-11-30,11月30日
1505,1505年
1509,1509年
1510-04,1510年四月
1512,1512年
1521,1521年
1526,1526年
1532-08,8月份
1532-09,9月
1532-1-5,153215
1540,1540年
1556-8-2,155682
1565,1565年
1573,1573年
16,１６年
16,16年
1600,1600年
1615,1615年
1620,1620年
1622,1622年
163,30年代
1635,1635年
1635-07,7月
1642,1642年
1651,1651年
1652,1652年
1654,1654年
1662,１６６２年
1669-1-5,166915
167,七十年代
1670,1670年
1671,1671年
1674,1674年
1677,1677年
1678-11-02,11月2日
1678-11-03,11月3日
1678-11-08,11月8日
1678-9-2,167892
168,80年代
1685,1685年
1696,1696年
1697,1697年
17,17年
17,上世纪
1700,1700年
1701-2-4,170124
1720,1720年
1724,1724年
1726-4-4,172644
1728-09,9月
1728-1-1,172811
1732,1732年
1733,1733年
1739-09,9月
1739-6-2,173962
1740,1740年
1750,1750年
1750-01-03,1月3日
1750-03,3月
1750-07-16,7月16日
1750-08-16,8月16日
1750-12,12月
1750-12-29,12月29
1762-3-8,176238
1767,1767年
1776,1776年
1789,1789年
1794,1794年
1795,1795年
1796,1796年
1799,1799年
18,１８年
18,上世纪
18,18年
1800,1800年
1803,1803年
1812,1812年
1812-08-20,8月20日
1812-SU,1812年夏
1815,1815年
182,二十世纪初期
1820,1820年
1820-1-3,182013
1822,1822年
1824,1824年
183,三十年代
1837,1837年
1837-10-21,10月21日
1837-SU,夏
1838,1838年
1841-11-02,1841年11月2日
1842,1842年
1848,1848年
1849,1849年
1850,1850年
1851,1851年
1851-08-22,8月22日
1854,1854年
1855,1855年
1856,1856年
1858,1858年
1859,1859年
186,60年代
186,六十年代
1860,1860年
1861,１８６１年
1861,1861年
1861-WI,冬天
1862,1862年
1864,1864年
1864-07-19,1864年7月19日
1864-07-29,上天
1864-07-30,7月30日
1864-08-01,8月1日
1864-12-25,圣诞节
1865,1865年
1865-11,11月
1866,1866年
1867,1867年
1868,1868年
187,七十年代
187,70年代
1870,1870年
1871,1871年
1872,1872年
1874,1874年
1874-10,今年10月
1874-10,10月
1876,1876年
1877-04,一八七七年四月
1877-04-26,四月二十六日
1877-09,一八七七年九月
1878,1878年
1878-01,一八七八年一月
1879,1879年
1879-12-25,圣诞节
188,八十年代
188,80年代
1880,1880年
1881,一八八一年
1884,1884年
1886,1886年
1886-01-29,1月29日
1887,1887年
1888,1888年
189,90年代
189,九十年代
1890,今年
1890,1890年
1891,1891年
1891-SU,夏天
1892,1892年
1894,1894年
1896,1896年
1896-09-30,9月30日
1896-10-03,10月3日
1896-11-08,11月8日
1898,1898年
1899,1899年
19,19年
19,上世纪
19,上世纪末
19,上个世纪
1900,1900年
1900,今年
1900,１９００年
1900/11/11,11月11日
1900/2/3,190023
1900-SP,春
1901,1901年
1901,今年
1902,1902年
1904,1904年
1904/6/10,1904年6月10日
Jul-04,新月
Aug-04,新月
1905,1905年
1907,1907年
1908,1908年
Nov-08,1908年11月
1909,1909年
1910,1910年
Mar-10,1910年3月
1911,1911年
1911/3/4,1911年3月4日
1911/11/3,1911年11月3日
1911/12/24,昨日
1911/12/25,12月25日
1911/12/25,1911年12月25日
1912,1912年
1912/1/1,1912年1月1日
1913,1913年
1914,今年
1914,1914年
Mar-14,1914年3月
1915,1915年
1915/9/2,1915年9月2日
1916,1916年
1917,1917年
1918,新年
1918,1918年
1919,1919年
192,20年代
192,20世纪末
192,20世纪
1920,1920年
1920-WI,冬
1921,1921年
Jul-21,1921年7月
1922,1922年
1922/10/22,1922年10月22日
1923,1923年
1923,20世纪30年代
1923/10/30,1923年10月30日
1923/10/31,10月31日
1924,1924年
1924/5/24,1924年5月24日
1925,1925年
1925,20世纪50年代
Aug-25,1925年8月
Oct-25,1925年10月
Nov-25,1925年11月
1925-FA,秋
1925-WI,冬天
1926,1926年
1926,20世纪60年代末
1926,20世纪60年代
1926/6/28,1926年6月28日
1926/11/25,11月25日
1927,1927年
1927,20世纪70年代末
1927/4/28,1927年4月28日
1927/8/1,8月1日
1927-WI,冬天
1928,20世纪80年代
1928,1928年初
1928,1928年
1928-FA,1928年秋
1928-SP,1928年春天
1928-WI,冬
1929,20世纪90年代末
1929,20世纪90年代初
1929,20世纪90年代
1929,1929年
Oct-29,1929年10月
Dec-29,1929年12月
193,三十年代
193,30年代
1930,1930年
1930-H2,1930年下半年
1931,1931年
Apr-31,1931年4月
1931/4/25,1931年4月25日
Jun-31,6月初
Jun-31,１９３１年６月初
Jun-31,6月
Aug-31,1931年8月
1931/11/19,1931年11月19日
1931-FA,秋
1931-SP,1931年春
1932,1932年
Oct-32,1932年10月
1932/10/19,10月19日
1932/10/23,10月23日
1932/11/10,1932年11月10日
1932-FA,秋天
1932-SP,春
1932-WI,冬
1933,1933年
1933/5/9,1933年5月9日
1933/6/18,1933年6月18日
1933-SP,春天
1934,1934年
Oct-34,1934年10月
1934-WI,冬季
1935,1935年
1935,八年前
1935/3/11,1935年3月11日
1935/4/1,4月1日
Sep-35,1935年9月
1935-FA,秋
1936,1936年
1936,今年
Jan-36,1936年1月
Jun-36,6月
Oct-36,10月
Oct-36,1936年10月
1936/10/19,1936年10月19日
1936/10/21,1936年10月21日
Nov-36,1936年11月
1936/11/2,1936年11月2日
1936-FA,秋
1936-SU,1936年夏
1937,1937年
1937,八年前
Jul-37,1937年7月
Aug-37,1937年8月
1937/8/13,1937年8月13日
Nov-37,1937年11月
1937/11/30,1937年11月30日
1938,1938年
1938,1938年底
Jan-38,1938年1月
1938/2/21,1938年2月21日
Mar-38,1938年3月
Apr-38,1938年4月
May-38,5月
1938-H2,1938年下半年
1939,1939年
1939/2/12,1939年2月12日
1939/2/19,1939年2月19日
1939/6/17,1939年6月17日
1940,1940年初
1940,1940年
1940,今年
Mar-40,1940年3月份
Nov-40,11月
Nov-40,1940年11月
1940/11/2,11月2日
1940-FA,秋
1940-SP,春
1941,1941年年底
1941,1941年
1941,1941年底
1941,1941
Apr-41,1941年4月
1941/4/10,4月10日
May-41,1941年5月底
Jun-41,1941年6月
Jun-41,1941年6月底
1941/6/20,1941年6月20日
1941/6/22,1941年6月22日
Jul-41,1941年7月
1941/7/3,7月3日
1941/7/4,7月4日
1941/7/7,7月7日
1941/7/28,7月28日
Sep-41,9月
Sep-41,9月底
Sep-41,1941年9月
1941/9/8,1941年9月8日
1941/9/16,9月16日
Nov-41,11月
Nov-41,1941年11月
1941-SU,1941年夏天
1942,1942年初
1942,1942年
1942,1942年底
1942,1942
1942,今年
Mar-42,1942年3月
Apr-42,1942年4月
May-42,1942年5月
May-42,5月
1942/5/1,5月1日
1942/5/18,1942年5月18日
1942/7/31,7月31日
Sep-42,1942年9月
1942/10/16,1942年10月16日
Nov-42,1942年11月
1942/11/23,11月23日
1942/11/25,11月25日
1942-WI,冬天
1943,1943
1943,1943年初
1943,1943年
Jan-43,1943年1月份
Mar-43,1943年3月
1943/4/15,1943年4月15日
May-43,5月
1943/7/2,7月2日
1943/7/3,7月3日
1943/7/4,7月4日
1943/7/8,7月8日
1943/7/9,7月9日
Aug-43,8月
Aug-43,当年8月
Sep-43,9月
Oct-43,1943年10月
Dec-43,12月
1943-FA,1943年秋
1943-SU,1943年夏
1944,1944年
1944/1/27,1944年1月27日
1944/3/8,1944年3月8日
May-44,5月
May-44,5月中旬
1944/6/19,1944年6月19
1944/8/10,1944年8月10日
1944/11/8,1944年11月8日
Dec-44,1944年12月
1944-FA,秋天
1944-SU,1944年夏
1944-SU,1944年夏天
1944-WI,冬天
1944-WI,1944年冬天
1945,1945年
1945,２０年前
1945,1945年底
1945,八年前
Apr-45,1945年4月
Jun-45,1945年6月
1945/8/9,1945年8月9日
1945/12/25,圣诞节
1946,1946年底
1946,1946年
1946,今年
Mar-46,1946年3月
Jun-46,1946年6月
1946/7/31,1946年7月31日
1946/9/17,9月17日
1946/11/3,1946年11月3日
Dec-46,1946年12月
1946-SP,春
1947,1947年
Mar-47,1947年3月
1948,1948年
Nov-48,1948年11月
1948/11/2,1948年11月2日
1948/11/3,11月3日
1948/12/6,12月6日
1949,1949年底
1949,1949年
1949/5/25,1949年5月25日
1949/6/15,1949年6月15日
Aug-49,1949年8月
1949/8/1,建军节
Sep-49,1949年9月
Oct-49,1949年10月
1949/10/19,1949年10月19日
1949/11/1,11月1日
1949/11/2,明天
1949/11/2,1949年11月2日
1949/11/11,1949年11月11日
Dec-49,1949年12月
1949-SU,夏
195,50年代
1950,1950年初
1950,1950年
1950,1950年底
1950/3/22,1950年3月22日
1950/6/6,1950年6月6日
1950/6/25,1950年6月25日
Sep-50,1950年9月
1950/10/1,1950年10月1日
1950/11/2,1950年11月2日
1951,１９５１年
1951,1951年
Feb-51,1951年2月
Apr-51,1951年4月
1951/9/18,1951年9月18日
1952,1952年
Jan-52,1952年1月
Feb-52,2月
Jul-52,1952年7月
Sep-52,1952年9月
Dec-52,1952年12月
1953,1953年
1953/5/24,1953年5月24日
Jul-53,1953年7月
1953/7/1,1953年7月1日
1953/11/23,1953年11月23日
1953/11/24,昨天
1953/11/25,1953年11月25日
1953/11/26,1953年11月26日
1953-FA,秋
1953-H1,1953年上半年
1953-SP,春
1953-SU,夏
1954,今年
1954,1954年
1954/1/17,昨天
1954/1/18,1954年1月18日
Apr-54,1954年4月
May-54,1954年5月
Jul-54,1954年7月
1954/8/20,1954年8月20日
1954/12/21,1954年12月21日
1955,1955年
Mar-55,1955年3月
Apr-55,1955年4月
Sep-55,1955年9月
1955/9/27,1955年9月27日
Oct-55,1955年10月
1955/10/1,10月1日
Dec-55,12月
1956,今年
1956,1956年
Jan-56,1956年1月
1956/2/10,1956年2月10日
1956/2/13,1956年2月13日
Mar-56,3月
Apr-56,1956年4月
Apr-56,今年4月份
Jun-56,1956年6月
1956/6/5,1956年6月5日
1956/7/13,1956年7月13日
1956/9/30,1956年9月30日
1956/10/1,国庆节
1956/10/14,10月14日
1956/10/19,10月19日
Nov-56,1956年11月
1956/12/10,12月10日
1956-SP,春
1957,1957年
1957,1957
1957/2/10,1957年2月10日
Mar-57,1957年3月
1957/5/19,1957年5月19日
1957/6/1,6月1日
1957/6/6,1957年6月6日
1957/7/22,7月22
1957/7/25,1957年7月25日
1957/8/1,建军节
Sep-57,1957年9月
1957/10/4,1957年10月4日
1958,1958年
Mar-58,1958年3月
Apr-58,1958年4月底
1958/4/15,1958年4月15日
1959,1959年
Oct-59,1959年10月
1959/12/6,1959年12月6日
1959/12/24,1959年12月24日
1959-WI,冬
1959-WI,冬季
196,60年代
196,60年代后期
196,六十年代中期
1960,1960年
1960,今年
Apr-60,1960年4月
1960/4/26,1960年4月26日
Oct-60,1960年10月
1960/10/31,万圣节
1960-SU,夏
1960-WI,冬天
1960-WI,冬季
1961,1961年
Apr-61,1961年4月
1961/9/2,1961年9月2日
1961/9/3,明天
1962,1962年
1962,今年
1962/2/9,1962年2月9日
May-62,1962年5月
Nov-62,1962年11月
Dec-62,1962年12月
1963,1963年
Mar-63,1963年3月
May-63,1963年5月
Jul-63,1963年7月
Oct-63,1963年10月
1963/10/13,1963年10月13日
Nov-63,11月
1964,1964年
Apr-64,1964年4月
1964/12/25,圣诞节
1964-WI,1964年冬
1964-WI,冬
1964-WI,冬季
1965,１９６５年
1965,1965年
1965/2/19,1965年2月19日
Jun-65,1965年6月
Jul-65,1965年7月
Aug-65,1965年8月
1965/10/24,10月24日
1965/11/1,11月1日
1965-WI,冬季
1966,今年
1966,1966
1966,1966年
Jan-66,1966年1月中旬
1966/2/20,1966年2月20日
Mar-66,1966年3月
Apr-66,1966年4月
1966/4/14,四月十二至十四
May-66,五月初
1966/7/8,1966年7月8日
1966/8/24,1966年8月24日
Sep-66,9月
1966-FA,秋
1966-SU,夏季
1966-WI,冬
1967,1967年
1967,1967
Jan-67,1967年1月
Feb-67,1967年2月
Mar-67,1967年3月
Jun-67,1967年6月
Sep-67,1967年9月
1967/10/24,1967年10月24日
1967/10/27,10月27日
1967/10/28,10月28
1967/10/31,10月31日
Nov-67,新月
1967/11/1,11月1日
1967/11/3,11月3日
1967/11/5,11月5
1967/11/7,11月7日
1967/11/8,11月8日
1967/11/9,11月9日
1967/11/12,11月12日
1967/11/13,11月13日
1967/11/13,1967年11月13日
1967/11/14,11月14日
1967/11/15,11月15
1967/11/18,11月18日
1967/11/19,11月19
1967/11/26,11月26日
1968,1968年
1968,１９６８年
Jan-68,1968年1月
1968/2/4,1968年2月4日
1968/7/11,1968年7月11日
1968/10/31,1968年10月31日
Nov-68,1968年11月
1968/12/28,1968年12月28日
1968-WI,1968年冬
1969,1969年
1969,今年
1969,今年年底
1969,1969年初
Mar-69,1969年3月
Mar-69,3月
Mar-69,3月份
Apr-69,1969年4月
Apr-69,4月
1969/10/17,1969年10月17日
197,70年代初期
197,70年代
197,新时期
1970,1970年
1970,１９７０年
1970,今年
Sep-70,1970年9月
1970/11/11,11月11日
1970-SP,春
1971,1971年
Apr-71,1971年4月
May-71,1971年5月
1971/9/13,1971年9月13日
Oct-71,1971年10月
Dec-71,1971年12月
1972,1972年
Oct-72,1972年10月
1972/10/26,1972年10月26日
Dec-72,12月
1973,１９７３年
1973,今年
1973,去年
1973,1973
1973,1973年
Jan-73,1973年1月
Feb-73,1973年2月
1973/4/8,1973年4月8日
May-73,1973年5月
Jul-73,今年7月
1973/8/13,1973年8月13日
Sep-73,1973年9月
1973/9/8,1973年9月8日
1973/10/11,今年１０月１１日
Nov-73,1973年11月
1973/11/19,1973年11月19日
