value,name
P1D,每个天
P1D,每日
P1D,每一个天
P1D,每天
P1D,每一天
P1M,每个月
P1M,每一个月
P1M,每月
P1Q,每季
P1Q,每季度
P1Q,每一季
P1W,每一周
P1W,每个星期
P1W,每星期
P1W,每周
P1WE,每个周末
P1Y,每一年
P1Y,每年
PT1H,每小时
PT1H,每个小时
PT1H,每一小时
PT1M,每一分钟
PT1M,每分钟
PT1S,每秒
PT1S,每一秒
XXXX-1,每周一
XXXX-1,每个星期一
XXXX-2,每周二
XXXX-3,每周三
XXXX-4,每周四
XXXX-5,每周五
XXXX-6,每周六
XXXX-6,每个星期六
XXXX-SU,每个夏天
XXXX-WXX-1TAF,周一下午
XXXX-WXX-1TEV,周一晚
XXXX-WXX-1TMO,周一上午
XXXX-WXX-1TMO,周一早上
XXXX-WXX-2TAF,周二下午
XXXX-WXX-2TEV,周二晚
XXXX-WXX-2TMO,周二上午
XXXX-WXX-2TMO,周二早上
XXXX-WXX-3TAF,星期三下午
XXXX-WXX-3TAF,周三下午
XXXX-WXX-3TEV,周三晚
XXXX-WXX-3TEV,周三晚上
XXXX-WXX-3TMO,周三早晨
XXXX-WXX-3TMO,周三上午
XXXX-WXX-3TMO,周三早上
XXXX-WXX-4T12:00,周四午间
XXXX-WXX-4TAF,周四下午
XXXX-WXX-4TEV,周四晚
XXXX-WXX-4TMO,周四凌晨
XXXX-WXX-4TMO,周四上午
XXXX-WXX-4TMO,周四
XXXX-WXX-5TAF,周五下午
XXXX-WXX-5TEV,周五傍晚
XXXX-WXX-5TEV,周五晚
XXXX-WXX-5TMO,周五上午
XXXX-WXX-6TEV,周六晚
XXXX-WXX-6TMO,周六上午
XXXX-WXX-6TMO,周六早上
XXXX-WXX-7TAF,周日下午
XXXX-WXX-7TEV,周日晚上
XXXX-WXX-7TEV,周日晚
XXXX-WXX-7TMO,周日上午
