value,name
1911-12-25TAF,当天下午
1932-10-23TEV,当天晚上
1932-10-23TMO,这天清晨
1936-10-19T05:25,上午5时25分
1940-11-02TMO,今天早晨
1941-07-07TEV,当天晚上
1942-05-18T17:40,下午5时40分
1984-07-08T24:00,后半夜
1989-10-25TMO,昨日凌晨
1989-10-26TMO,昨日凌晨
1989-10-27TMO,昨日凌晨
1989-10-29TMO,昨日凌晨
1989-10-30TMO,昨日凌晨
1989-11-02TMO,昨日凌晨
1993-09-24T12:00,当天中午
1997-06-30TAF,昨天下午
1997-10-31TEV,当天晚
2004-08-14TEV,今晚
2006-08-20TEV,今晚
2007-10-24TEV,当晚
2009-04-04T27:00,下午15点00
2009-06-25TEV,当晚
2009-07-03T24:00,这天半夜
2010-01-01TEV,当晚
2010-04-17TMO,当日清晨
2010-04-25TEV,昨晚
2010-04-27TAF,昨天下午
2010-04-27TMO,今天上午
2010-04-29TAF,昨天下午
2010-07-23TEV,当晚
2010-08-04TAF,今天下午
2011-01-11T01:11,中午1点11分
2011-02-14TEV,当晚
2011-08-01TEV,今晚
2011-12-14TAF,当天下午
2012-01-13TEV,今晚
2012-01-26TEV,今天晚上
2012-01-26TEV,今晚
2012-01-27TEV,今晚
2012-02-12TEV,今晚
2012-03-10TMO,今天上午
2012-04-29TEV,昨晚
2012-05-01TAF,昨天下午
2012-05-01TMO,今天上午
2012-06-28TEV,当晚
2013-01-02TEV,当晚
2013-09-23TEV,今晚
2013-11-04TEV,今晚
2014-05-03TEV,当晚
2014-06-01TAF,当天下午
2014-06-01TMO,今天上午
2014-07-30TEV,当晚
2015-02-05T09:15,早上9时15分
2015-06-01TMO,今天上午
2015-07-01TEV,当晚
2015-09-01TEV,一日晚上
2015-10-31TAF,当日下午
2016-01-23T07:55,早上7时55分
2016-06-25T20:22,晚8点22分
2016-07-25TAF,昨天下午
2016-08-05TEV,昨晚
2016-08-10TEV,当晚
2016-08-27TEV,昨晚
2016-08-27TEV,今天晚上
2016-08-28TEV,昨晚
2016-09-21TEV,当天晚上
2016-10-26TMO,昨日早上
2016-10-27T12:06,中午12时06分
2016-10-28T20:30,晚上8点30分
2016-10-29T15:30,下午3点30分
2016-10-29TEV,来晚
2016-10-30TAF,昨日下午
2016-10-30TEV,当晚
2016-10-31TAF,今天下午
2016-10-31TAF,上下午
2016-10-31TAF,昨天下午
2016-11-01T10:20,上午10时20分
2016-11-01T12:00,今天中午
2016-11-01T13:50,下午1点50分
2016-11-01T25:06,下午13点06分
2016-11-01T31:30,晚19点30分
2016-11-01TAF,今天下午
2016-11-01TAF,今日下午
2016-11-01TAF,今天午后
2016-11-01TEV,昨天晚
2016-11-01TEV,昨晚
2016-11-01TEV,当天晚上
2016-11-01TMO,今天早上
2016-11-02T28:50,下午16时50分
2016-11-05TEV,今晚
2017-03-31T09:30,上午9点30分
2019-09-22TMO,明日凌晨
2020-10-03T07:15,上午7时15分
2020-10-04T04:15,凌晨4时15分
2020-10-05TMO,昨天凌晨
PAST_REFTEV,以前晚上
XXXX-09-18TEV,九月十八日晚
XXXX-XX-01T12:00,一日中午
XXXX-XX-XXT02:15,凌晨2时15分
XXXX-XX-XXT02:30,凌晨2点30分
XXXX-XX-XXT03:10,凌晨3点10分
XXXX-XX-XXT03:30,凌晨三点半
XXXX-XX-XXT04:10,凌晨4时10分
XXXX-XX-XXT04:30,早上4点半
XXXX-XX-XXT05:01,凌晨５时０１分
XXXX-XX-XXT05:10,凌晨5时10分
XXXX-XX-XXT05:20,早晨5点20分
XXXX-XX-XXT05:30,清晨五点半
XXXX-XX-XXT05:40,早上5点40分
XXXX-XX-XXT06:28,早上6时28分
XXXX-XX-XXT06:30,早晨6点半
XXXX-XX-XXT06:30,早上6点半
XXXX-XX-XXT06:30,早上六点三十分
XXXX-XX-XXT07:10,上午7点10分
XXXX-XX-XXT07:30,早上7点半
XXXX-XX-XXT07:30,早上7点30分
XXXX-XX-XXT07:31,上午7时31分
XXXX-XX-XXT07:55,上午7时55分
XXXX-XX-XXT08:30,早上8点30分
XXXX-XX-XXT08:30,上午8时30分
XXXX-XX-XXT08:40,上午8时40分
XXXX-XX-XXT08:56,上午8点56分
XXXX-XX-XXT09:01,上午9时一
XXXX-XX-XXT09:20,上午9时20分
XXXX-XX-XXT09:30,上午九点半
XXXX-XX-XXT09:30,上午9时30分
XXXX-XX-XXT09:30,上午9点30分
XXXX-XX-XXT09:40,上午9点40分
XXXX-XX-XXT09:50,上午9时50分
XXXX-XX-XXT10:00,周五十点
XXXX-XX-XXT10:15,上午10点15分
XXXX-XX-XXT10:16,上午10时16分
XXXX-XX-XXT10:20,上午10时20分
